"","1","2","3","4","5"
"0.1001",0,0,1,0,7
"0.1011",0,0,0,0,2
"0.1014",0,0,0,0,1
"0.1041",0,1,2,1,7
"0.1081",0,0,0,0,1
"0.1131",0,0,0,0,4
"0.1157",0,0,0,0,1
"0.1169",0,0,1,0,36
"0.1209",0,0,0,0,4
"0.1249",0,0,0,0,3
"0.1289",0,0,0,0,1
"0.1325",0,0,0,0,1
"0.1374",0,0,0,0,1
"0.1405",0,0,0,0,1
"0.1526",0,0,0,0,1
"0.1651",0,0,0,0,1
"0.1808",0,0,0,0,1
"0.1825",0,0,0,0,2
"0.1852",0,0,0,0,1
"0.1874",0,0,0,0,1
"0.1888",0,0,0,0,1
"0.1952",0,0,0,0,1
"0.1969",0,0,0,0,1
"0.1975",0,0,0,0,1
"0.1998",0,0,0,0,1
"0.2072",0,0,0,0,1
"0.21",0,0,0,0,1
"0.2122",0,0,0,0,1
"0.2143",0,0,0,0,1
"0.2156",0,0,0,0,1
"0.217",0,0,0,0,1
"0.2176",0,0,0,0,1
"0.2193",0,0,0,0,1
"0.2198",0,0,0,0,1
"0.221",0,0,0,0,1
"0.2233",0,0,0,0,1
"0.2256",0,0,0,0,1
"0.2267",0,0,0,0,6
"0.2296",0,0,0,0,1
"0.2307",0,0,0,0,2
"0.2338",0,0,0,0,3
"0.2344",0,0,0,0,7
"0.2346",0,0,0,0,4
"0.2349",0,0,0,0,3
"0.235",0,0,0,0,1
"0.2384",0,0,0,0,1
"0.2389",0,0,0,0,1
"0.2408",0,0,0,0,1
"0.2418",0,0,0,1,7
"0.2458",0,0,0,0,3
"0.2527",0,0,0,0,1
"0.2641",0,0,0,0,1
"0.288",0,0,0,0,1
"0.2922",0,0,0,0,1
"0.2943",0,0,0,0,1
"0.3016",0,0,0,0,1
"0.3115",0,0,0,0,1
"0.3146",0,0,0,0,2
"0.3149",0,0,0,0,2
"0.3186",0,0,0,0,1
"0.3201",0,0,0,0,1
"0.3223",0,0,1,0,0
"0.3258",0,0,0,0,1
"0.3332",0,0,0,0,1
"0.3347",0,0,0,0,1
"0.3357",1,0,0,0,0
"0.3398",0,0,0,0,1
"0.3406",0,0,0,0,2
"0.3532",0,0,0,0,1
"0.3549",0,0,0,0,1
"0.3587",0,0,0,0,1
"0.3591",0,0,0,0,1
"0.3595",0,0,0,0,1
"0.3652",0,0,0,0,1
"0.3668",0,0,0,1,11
"0.3686",0,0,0,0,25
"0.3716",1,1,3,2,502
"0.3726",0,0,0,0,2
