appendComment,pics,Sterne,rateContent,rateDate,reply,serviceRateContent,userInfo
242671755865|2015-05-28 22:45:20|发的XL有点大|0||,,5,,2015-05-28 13:37:45,,,
,,5,喜欢，大小也正合适,2015-05-28 12:26:51,,,
,,5,物流很快，衣服不错,2015-05-28 12:23:29,,,
,,5,挺好，就是稍微大了点，算了就这样穿穿吧,2015-05-28 11:47:10,,,
,,5,很好！满意,2015-05-28 11:40:09,,,
,,5,很棒！物流快质量好！赞！,2015-05-28 10:54:23,,,
,,5,衣服挺好，就是偏大了,2015-05-28 08:23:05,,,
,,5,我爸很喜欢 适合中年穿 哈哈,2015-05-28 07:56:50,,,
,,5,身高1米83，体重63公斤，M码正好！这种款型不修身。但是面料舒服，无瑕疵，挺满意的！  客服真让人无语。。零交流！,2015-05-27 22:48:45,您好，给您带来诸多不便非常抱歉，针对您反馈的问题我们也做了一个核实，当时的您在5月26日09：44分咨询我们相关的问题，由于当时处于非工作时间段内，所以没有及时回应您的问题，到了中午的时候由于活动咨询期间咨询量十分集中，加上中午就餐时间故延误到了您的回复时间，给您带来不便非常抱歉！,,
,,5,很好，是正品，大小合适，非常满意,2015-05-27 20:47:48,,,
,,5,发货速度挺快的！穿着效果也还不错，唯一值得改进的 就是包装不怎么太上档次！上身效果很不错！ 值得购买!,2015-05-27 20:41:16,,,
,,5,码偏大，听了客服的建议，买了小一码，合适,2015-05-27 20:38:49,,,
,,5,衣服质量不错，就是客服有些冷淡，无论旺旺还是电话客服对待客户都有些爱理不理的态度。不过习惯了好评，加上收到衣服心情好，就还是全五分。,2015-05-27 19:47:19,您好，看到您的评价我们很伤心呦，当然我们也十分的重视，查看了当时的聊天记录，主要集中是在2个问题，一点是您在5月25日前10点前咨询的问题没有人回复，因为当时不在我们的运营时间内；其次，您咨询想在已付款的订单中再增加一件商品想法，工作人员并非不为您服务哦，的确无法操作而已，我们也会不断提升我们的服务质量，努力让您更为的满意的哈，感谢您对PUMA的支持及关注！,,
,,5,啊啊啊啊啊哈哈哈哈哈好好好好好啦啦啦啦啦！！！,2015-05-27 19:39:26,,,
,"//img.alicdn.com/bao/uploaded/i3/162610101381518753/TB2WKl_cVXXXXXMXXXXXXXXXXXX_!!1134136261-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/162610101381523177/TB2ezBIcVXXXXbYXpXXXXXXXXXX_!!1134136261-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/162610101381530112/TB2dF0ScVXXXXawXpXXXXXXXXXX_!!1134136261-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/162610101381539074/TB2cXxKcVXXXXciXpXXXXXXXXXX_!!1134136261-0-rate.jpg",5,衣服满意度70做工和实体店有点偏差一分钱一分货 质量过得去 有点挂羊头卖狗肉的感觉 服务态度很好  。,2015-05-27 19:31:47,,,
,,5,不错，蛮舒服,2015-05-27 18:55:10,,,
,,5,很好,2015-05-27 18:43:39,,,
,,5,不错，穿着很舒服！,2015-05-27 17:10:49,,,
,,5,老公说不错,2015-05-27 16:00:19,,,
,//img.alicdn.com/bao/uploaded/i2/196380101338452996/TB2sW0NcVXXXXXQXpXXXXXXXXXX_!!899089638-0-rate.jpg,5,有白色的毛毛不知是什么,2015-05-27 14:23:48,,,
,,5,可以可以！,2015-05-27 13:22:52,,,
,,5,很好，快递也快！,2015-05-27 13:21:53,,,
,,5,码数偏大,2015-05-27 12:57:26,,,
,,5,比想象中的薄，还以为背后的那logo是针缝上去的，结果是粘上去的！,2015-05-27 12:57:10,,,
,,5,发货速度很快，衣服质量也很好～,2015-05-27 12:48:21,,,
,,5,完全就是假货，评价都是刷的吧，衣服太假了。129？29还差不多，衣服太假太假了。完全就是骗人。,2015-05-27 12:20:34,,,
,,5,衣服不错，就是我选错号了，来回折腾麻烦，就这样了。,2015-05-27 11:38:56,,,
,,5,衣服很合身质量挺好的   好评,2015-05-27 11:09:15,,,
,,5,顺丰太快了！质量不错，就是号码偏大,2015-05-27 10:54:16,,,
,,5,物流太快了！第二天就到！质量也不错，就是号码偏大，男朋友很喜欢，好,2015-05-27 10:53:38,,,
,,5,不错，很合身,2015-05-27 09:09:48,,,
,,3,刚刚收到货、我想说对快递小哥说一声辛苦了。衣服比之前买的还要偏大、真心的觉得不值。,2015-05-26 20:56:12,,,
,,5,大小合适，尺码还是挺标准的，老公平时就穿175的，面料是纯棉的薄的，手感不错，很满意，发的顺丰第二天就收到了，很快，很满意,2015-05-26 20:45:16,,,
,,5,非常舒服！！！,2015-05-26 19:10:08,,,
,,5,穿着舒适！,2015-05-26 18:34:37,,,
,,5,好。,2015-05-26 18:14:34,,,
,//img.alicdn.com/bao/uploaded/i1/189490101251163985/TB2pcFgcVXXXXb9XpXXXXXXXXXX_!!793968949-0-rate.jpg,2,差评。物流差评。在郑州停了三天、打了客服电话才给我派送的。,2015-05-26 17:51:05,您好，给您带来不便非常抱歉，针对您反馈的问题我们会及时的和物流公司进行核实，的确您的订单在配送时出现了异常情况，您在5月20日进行了下单，5月21日完成发货，5月22日后郑州市区域网上更新就停滞了，直到5月25日才进行更新，真的非常抱歉，我们会和物流公司尽快做内部的核实，感谢您对PUMA的支持及关注！,,
,,5,还好，女生穿有点透。快递一天就到了。,2015-05-26 17:32:53,,,
,,5,好评,2015-05-26 17:31:09,,,
,,5,好评,2015-05-26 17:31:09,,,
,,5,好评,2015-05-26 17:01:31,,,
,,5,好东西,2015-05-26 13:29:51,,,
,,5,挺好的 尺寸也正常 平时都175 这个M号也正好,2015-05-26 13:11:17,,,
,,5,还行吧，穿着舒适，就是不太修身,2015-05-26 10:41:13,,,
,,5,还行吧，穿着舒适，就是不太修身,2015-05-26 10:41:13,,,
,,5,"卖家很好很好,遇到问题耐心解决.",2015-05-25 22:07:52,,,
,,5,尺寸太大，看评价说号码大很多，买小了一号还是大，换货麻烦将就着穿吧，衣服质量不错,2015-05-25 21:44:47,,,
,,5,物流快！衣服质量好！很有范！,2015-05-25 21:36:17,,,
,,4,比啊迪的大件，手感也不错，老公很满意，就是买了三件居然都没包邮,2015-05-25 21:19:47,亲，您好，感谢您对PUMA的支持及关注！针对您的问题需要和您“解释”一下呦，店铺活动会不定期的推出，包邮活动非常规活动，一般我们会在月中或每逢活动期间会有一些包邮活动哦，在线客服人员的确无法擅自违背店铺规则帮您免邮哦，您的心情我们都十分理解的，我们会把您的建议反馈给公司哦~建议您收藏一下我们的店铺，随时关注店铺动态了哦~,,
,"//img.alicdn.com/bao/uploaded/i3/17299081943744584/TB2cVXgcVXXXXXiXpXXXXXXXXXX_!!1638257299-0-rate.jpg,//img.alicdn.com/bao/uploaded/i4/17299096456264045/TB2xVVvcVXXXXXzXXXXXXXXXXXX_!!1638257299-0-rate.jpg",5,非常不错衣服是正品，感觉比耐克的质量好。号码标准。本人一米七二。体重，七十三公斤。m码正好。就是买了之后第二天就降了十块钱。以后继续买彪马的衣服。给满分。还有就是客服服务态度非常好。,2015-05-25 21:16:24,,,
243010547875|2015-05-30 11:01:55|太容易坏了|19|//img.alicdn.com/bao/uploaded/i3/168350101797672191/TB2wlqScVXXXXauXpXXXXXXXXXX_!!2048876835-0-rate.jpg|,,5,,2015-05-25 17:49:16,,,
,,5,马马虎虎，感觉是库存仓底的货,2015-05-25 16:43:14,,,
,,5,还不错 就是还是大,2015-05-25 16:13:23,,,
,,5,买这类正规品牌就比较放心尺码，而且还偏大，就是有点贵。不过还是支持了，好评！,2015-05-25 13:04:01,,,
,,5,不错,2015-05-25 08:47:30,,,
,,5,宝贝很好，老公穿上正合适,2015-05-24 21:09:49,,,
,,5,十分不错,2015-05-24 18:30:09,,,
,,5,衣服还可以就是不知道是不是正品还有那个条形码扫不出来,2015-05-24 14:50:00,,,
,,5,老公穿上还不错，这里有图片v812339320,2015-05-24 13:07:20,,,
