appendComment,pics,stars,rateContent,rateDate,reply,serviceRateContent,userInfo
,,5,很满意，店里服务也好！,2015-05-08 05:40:52,,,
,,5,非常好。质量不错,2015-05-08 05:05:05,,,
,,5,很舒服，就是穿上睡觉会打呼噜，应该是个人问题吧！！！,2015-05-08 05:03:17,,,身高:180cm
,,5,衣服拿来训练很好很不错,2015-05-08 00:15:49,,,
,,5,不错 我183 79kg 就是有点肚子 要不然就很好了 腋下稍有点紧,2015-05-07 23:59:44,,,身高:183cm
,,5,衣服的包装不错，应该是正品，物流也很给力，下次还来,2015-05-07 21:05:00,,,
,,5,有点长，其他还好,2015-05-07 20:35:17,,,
,,1,有色差,2015-05-07 19:19:35,,,
,,5,"包装很是正规，看着是正品，孩子身高194.体重170,xxL穿着正好",2015-05-07 18:16:52,,,
,,5,挺好,2015-05-07 18:09:51,,挺好,身高:181cm
,,5,上衣稍微有点紧，衣服质量还是不错的，继续加油！,2015-05-07 16:03:05,,,
,,2,卖家给推荐的s码，结果太小，穿着很紧，吊牌摘了又不能换，郁闷啊。,2015-05-07 15:35:12,,,
240995697769|2015-05-11 21:05:31|已经穿了，不错哦！|4||,,5,,2015-05-07 13:02:50,,,
,,5,"非常好，很合身，175cm,75kg,客服推荐的L，比专卖店更好的购物体验，包装快递都很给力，还有发票(????????)哦",2015-05-07 12:50:36,,,
,,5,正品 很好 快递sf 第二天就到了。,2015-05-07 12:42:04,,,
,,5,必须好评！买家很贴心给我换了号码。很满意。,2015-05-07 12:35:52,,,
,,5,不好意思评价晚了，出差去外地，东西不错，弟弟很满意，支持！,2015-05-07 12:21:23,,,
,,5,很好,2015-05-07 10:35:16,,,
,,5,衣服很好看，老公穿上也特别合适。太喜欢这件了,2015-05-07 10:21:01,,,
,,5,买了好几件不同色的了，一直不错,2015-05-07 09:26:18,,,
,,5,很好，就是腋下有点紧,2015-05-07 08:51:31,,,
,,5,衣服很合适 很满意 快递也很快 有机会会再买,2015-05-06 23:44:35,,,
,,5,船上超舒服的，非常棒,2015-05-06 23:09:13,,,
,,5,东西不错,2015-05-06 21:09:33,,,
,,5,速干没有体验到。,2015-05-06 20:04:21,,,
,,2,码数偏小，根本穿不了，懒得换算了。,2015-05-06 20:03:14,,,
,,5,质量不错，正品，很喜欢，就是稍微贵了点。,2015-05-06 19:36:03,,,
,,5,物流特别快。客服很贴心。特别好,2015-05-06 18:47:36,,,
,,5,很棒,2015-05-06 18:41:13,,,
,,5,好东西,2015-05-06 18:28:21,,,
,,5,产品正，规范，物流快,2015-05-06 18:22:18,,,
,,5,还可以，就是左腋窝有点夹,2015-05-06 17:59:54,,,身高:168cm
,,5,太棒了,2015-05-06 16:27:42,,,
,,5,合适,2015-05-06 09:51:17,,,身高:183cm
,,5,很凉快，很贴身，品质一直很好，很满意，发货超快，,2015-05-06 09:17:08,,,
,,5,感谢客服推荐尺码 ，非常好看,2015-05-06 09:05:53,,,身高:176cm
,,5,东西不错，就是感觉这衣服的板型好小,2015-05-05 23:32:41,,,
,,5,非常好的宝贝，质量好，品牌好，总之是不错的选择。,2015-05-05 20:09:43,,,
,,5,很有型，都不好意思穿,2015-05-05 19:56:49,,,
,,5,感觉有点小，不过旗舰店就是靠谱,2015-05-05 19:22:07,,,
,,5,还可以，就是太长啦,2015-05-05 15:43:26,,,
,,5,穿着很合身,2015-05-05 14:37:39,,,
,,5,质量和包装都很好。,2015-05-05 14:29:18,,,
,,5,价格小贵而已，质量还是不错滴，好评,2015-05-05 14:18:40,,,
,,5,衣服很好   很喜欢,2015-05-05 13:31:20,,,
,,5,还是一如既往的精致，发票包，纸袋都有，包装精致，由于之前买过一件黑色的，这次穿起来也还不错，我特意买小一号，显得紧身感十足，点赞！,2015-05-05 12:38:19,,顺丰的速度叫人咂舌，秒杀三通一达，快到想不到,身高:177cm
,,5,好,2015-05-05 12:34:02,,,
,,5,非常喜欢，弹性很好，和商场的质量一样，满意。,2015-05-05 09:33:58,,发货速度很快，神一样的速度啊,身高:176cm
,,5,衣服没失望 是正品开心啊,2015-05-05 09:17:55,,,身高:173cm
,,5,不错，不愧是官方旗舰店,2015-05-05 09:14:04,,,
,,5,有点薄，挺合身的。,2015-05-05 07:24:39,,,
,,4,买小了，已送人，好评吧,2015-05-05 02:17:21,,,
,,5,衣服非常棒，非常显身材，顺丰快递太快了，老妈帮我收货，说这是我见过服务态度最好的快递小哥,2015-05-04 21:51:38,,,
,,5,宝贝收到了，很喜欢,2015-05-04 21:07:56,,,
,,5,不错,2015-05-04 20:59:09,,,
,,5,挺好的，不错,2015-05-04 20:33:17,,,
,,5,还不错,2015-05-04 19:26:59,,,
,,5,腋窝有一点点紧但长度腰围肩宽都正好   L的小一点点XL的大    有点郁闷    不过衣服还是不错的,2015-05-04 19:25:57,,,
,,5,还不错～,2015-05-04 18:39:27,,,
240884538081|2015-05-06 15:58:47|不错，是正品，穿着很舒服，下次还来|1||,,5,不错,2015-05-04 16:34:17,,,
,,5,收到宝贝的时候是惊喜，太棒了，想买的别犹豫，真的太棒了店家服务更是好,2015-05-04 16:28:21,,,
,,5,衣服质量挺好，下次会再次光顾本店。,2015-05-04 14:56:42,,,
,,5,还不错就是不打折。,2015-05-04 14:08:15,,,
,,5,隔天就到了，速度很快。很舒服，非常适合夏天做内衬,2015-05-04 13:41:09,,,
240704472499|2015-05-19 09:23:48|效果很好|14||,,5,物流很给力，包装也很给力，而且还带着发票。,2015-05-04 13:22:55,,好,身高:177cm
,,5,挺不错的，挺喜欢的，就是没有黑色⊙▽⊙,2015-05-04 13:06:50,,,
,,5,不错，穿上它感觉肉好多?,2015-05-04 12:46:07,,,
,,5,很不错！L就是稍微有点长！,2015-05-04 12:38:45,,,身高:175cm
,,5,非常好！！！！下次还来。,2015-05-04 10:34:16,,,
,,5,衣服材料不错 很紧身 穿在身上有一种凉凉的感觉,2015-05-04 09:49:27,,,
,,5,物流很快啊，穿着也很好,2015-05-04 08:27:49,,,
,,5,正品，很不错,2015-05-04 01:36:33,,,
,,5,可以,2015-05-04 00:02:55,,,
,,5,合身,2015-05-03 23:16:08,,,
,,5,合身,2015-05-03 23:16:08,,,
,,5,东西不错，客服推荐的尺码合适,2015-05-03 20:47:54,,,
,,5,好～～,2015-05-03 20:31:03,,,
,,5,不赖，很紧身,2015-05-03 20:26:03,,,
,,5,很赞。不管是物流还是质量,2015-05-03 18:36:45,,,
,,4,有点太长了！其他还好,2015-05-03 17:34:13,,,
,,2,衣服可以，就是我自己胖了，穿得太紧，退了。,2015-05-03 16:45:41,,,
,//img.alicdn.com/bao/uploaded/i2/11776078552541961/TB260KecFXXXXaGXXXXXXXXXXXX_!!2238441776-0-rate.jpg,5,帅,2015-05-03 15:27:52,,,
,,5,穿着去健身房锻炼很棒,2015-05-03 15:24:17,,,
,"//img.alicdn.com/bao/uploaded/i2/11142078547853714/TB2.Y8_cFXXXXagXpXXXXXXXXXX_!!1120921142-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/11142079125951299/TB2siV8cFXXXXaFXpXXXXXXXXXX_!!1120921142-0-rate.jpg",3,跟我在专柜买的不太一样，材料比专柜的松很多，穿的没那么紧，不知道是不是正品,2015-05-03 14:53:51,,,
,,5,不错,2015-05-03 13:40:17,,,
,,2,颜色失真,2015-05-03 13:40:17,,,
,,5,很好,2015-05-03 13:11:36,,,
,,5,顺丰的物流，规范的包装，正规的发票，一切让人觉得舒服,2015-05-03 12:47:36,,,
,,5,材料真心觉得一般般，收身效果还不错，身高175体重85公斤，正好，这衣服有点长,2015-05-03 12:27:34,,,
,,5,性价比高,2015-05-03 12:11:11,,,
,,5,不错,2015-05-03 12:03:37,,,
,,5,东西很不错，服务很满意，物流快速没话说，满分,2015-05-03 10:29:17,,,
,,5,最愉快的一次网购，真的是一分价钱一分货。很棒的衣服。快递也很快。下次还会来的。,2015-05-03 09:57:48,,,
,,5,衣服很好，质量没说的！很合身！物流超级超级快！,2015-05-03 09:45:29,,,
,,5,品牌就是品牌，物流速度很快，衣服是紧身的，确实有点紧，穿来运动不错！颜色比较喜欢！,2015-05-03 09:15:30,,,
,,4,l的稍微长了些,2015-05-03 08:14:33,,,
